</s>
是_v	并非_v
地方_n	事权_n 政府部门_n 中央政府_n 财力_n 财政_n 红头文件_n 财权_n 政府_n
钱_n	小钱_n 零花钱_n 积蓄_n 巨款_n
解决_v	无助于_v 破解_v 涉法_v 化解_v
留言板_n	言论_n 人民网_n 管理员_n 频道_n
网站_n	门户_n 社交网站_n 政府网站_n 权_n
有限公司_n	铝业_n 股份_n 集团_n 纸业_n 实业_n 子公司_n 酒业_n
接受_v	采访_v 透露_v 婉拒_v 表示_v
销售_v	售_v 经销_v 供货_v
数据_n	劳工部_n Ｗｉｎｄ_n 季度_n 月度_n 报告_n
内容_n	稿件_n 文字_n 真实性_n 形式_n
省_n	信委_n 科技厅_n 商务厅_n 工信厅_n 财政厅_n 农牧厅_n
旅游_v	度假_v 观光_v 休闲_v
不同_a	相近_a 各异_a 相似_a 相同_a
我国_n	大国_n 白皮书_n 航天史_n 综合国力_n
下午_t	凌晨_t 九时_t 四点_t 中午_t 上午_t 傍晚_t 前天_t 一大早_t 两点半_t 昨天_t 两点_t 早上_t 昨日_t 一早_t 六点_t
告诉_v	采访_v
反映_v	遵守_v 供稿_v
关注_v	赞誉_v 倍受_v 热捧_v 议论_v 牵动_v 热议_v 追捧_v
带_v	送给_v 带著_v 回家_v 捎_v 背着_v 临走_v
集团_n	子公司_n 股份_n 有限公司_n 实业_n
居民_n	城镇_n 医保_n 小区_n 用电户_n 租户_n 低保户_n 住户_n 用水_n
干部_n	班子_n 联户_n 领导_n 机关干部_n 党组织_n 领导班子_n
专家_n	研究者_n 学者_n 论证会_n 研究员_n 营养学_n 性学_n
关系_n	和平_n 睦邻_n 共识_n 伙伴_n 党际_n 双边_n 国_n 邻邦_n
基本_a	非基本_a
昨天_t	前日_t 中午_t 上周六_t 昨日_t 上午_t 前天_t 两点半_t 昨晚_t 下午_t 今天_t
计划_n
制度_n	奖惩_n 体制_n 机制_n
资源_n	矿种_n 要素_n 人力_n 水资源_n 禀赋_n 矿产_n
保障_v	优抚_v 健全_v 完善_v 保尽_v 均等化_v 优先_v 确保_v
拿_v	掏_v 递给_v 交给_v 拿走_v 丢_v 剩下_v
受_v	致使_v 侵袭_v 切变_v 影响_v
新闻_n	通气会_n 摘要_n 发布会_n 纵横_n 发布厅_n 编译_n 媒体_n
创新_v	开拓_v 创优_v 探索_v 专业化_v 培育_v
存在_v	并非_v 缺失_v 暴露_v
强_a
水_n	清水_n 井水_n
负责人_n	园林处_n 安监局_n 园林局_n 人保局_n 盐务局_n 经信局_n 市容局_n 商务局_n 处长_n 发改局_n 科长_n
需要_v	需_v 应付_v 能_v
香港_ns	澳门_ns 新加坡_ns 台湾_ns
个人_n	借款人_n 账户_n 看法_n 隐私_n
品牌_n	品类_n 女鞋_n 高端_n 轻客_n 专卖店_n 品牌力_n 品牌店_n
业务_n	业务量_n 条线_n 电销_n 客户_n 供应链_n 柜面_n
基础_n	体系_n 设施_n
上午_t	凌晨_t 九时_t 中午_t 傍晚_t 下午_t 前天_t 一大早_t 两点半_t 六时_t 早上_t 昨天_t 八点半_t 昨日_t 两点_t 十时_t
买_v	卖_v 便宜_v 囤_v 花_v 掏钱_v 花钱_v
证券_n
今天_t	中午_t 上午_t 傍晚_t 昨夜_t 前天_t 明天_t 昨天_t 下午_t
组织_v	抽调_v 轮训_v 分赴_v 动员_v
持续_v	转暖_v 趋于_v 放缓_v 复苏_v
历史_n	发祥地_n 文化史_n 始祖_n 发展史_n 文明史_n
网络_n	互联网_n 视频_n 新媒体_n 媒介_n 社交网站_n 搜索引擎_n 微博平台_n 社交_n
低_a	高於_a 高_a
手机_n	网卡_n ３Ｇ手机_n 电脑_n
警方_n	嫌犯_n 警局_n 嫌疑人_n 疑犯_n
设计_v	采用_v
原因_n	起因_n 人祸_n 成因_n
小时_n	星期_n 钟_n 时间_n 车程_n
伦敦_ns	奥运村_ns 於伦敦_ns 雅典_ns
主要_a	重要_a 首要_a
成功_a	顺利_a 圆满_a
保护_v	濒危_v
条件_n	资质_n 前提_n 需要_n 申请人_n
住_v	进屋_v
表现_v	出彩_v
发表_v	演说_v
调整_v	提至_v 下调_v 上调_v 调_v
建立_v	加强_v 区域化_v 构建_v 健全_v 完善_v 推行_v 上下联动_v
任务_n	飞行器_n 神_n 目标_n 天宫_n
未来_t
推进_v	深化_v 构建_v 加快_v 抓手_v 项目化_v 力促_v 着力_v 推动_v 建设_v
送_v	分送_v 送给_v 送到_v
是否_v
改革_v	深化_v 推行_v 试点_v 破除_v
学习_v	辅导_v 学好_v 备课_v 学_v 自学_v 实践_v
女_a	男_a
参与_v	倡议_v 活动_v 旨在_v
男子_n	劫匪_n 枪响_n 女子_n 黑衣_n
占_v	比增_v 超过_v
组织_n	公约_n 人权_n 成员国_n 会员国_n 观察员国_n
金融_n	信贷_n 金融业_n 银行业_n 衍生品_n 机构_n 信用_n 保险业_n
承担_v	尊重_v 连带_v 负有_v 违约_v 推卸_v
指出_v	表示_v 强调_v 分析_v
行_v	绕_v
规定_n	劳动合同法_n 土地管理法_n 条文_n 上位法_n 规章_n 条例_n 行政处罚法_n 总则_n
提升_v	注重_v 提高_v 优化_v 增强_v
开_v	直奔_v 跑_v 停_v 等_v 拉_v 蹭_v 离_v
结果_n	结论_n 民调_n
精神_n	集体主义_n
目标_n	飞行器_n 任务_n
知道_v	觉得_v 想_v 明白_v 想想_v 奇怪_v 好像_v 不知_v 在意_v
措施_n	政策_n 力度_n
电话_n	热线_n 客服_n 来电_n 座机_n 联系人_n 接线员_n
作用_n	效用_n
长_a	短短_a 短短的_a
处理_v	补救_v 查清_v 无害化_v 减量化_v 处置_v
正式_a
质量_n	安全性_n 控制点_n 合格率_n 信誉度_n 原奶_n 频次_n
社区_n	中心户_n 文化室_n 村居_n 卫生站_n 村屯_n 网格员_n 网格长_n 服务站_n 专干_n 议事会_n 服务圈_n 服务社_n 服务室_n 活动室_n 活动站_n 街道_n
全面_a
保险_n	分红型_n 投保人_n 保险费用_n 险种_n 保险金_n
准备_v	备_v 做_v 安顿_v 打算_v 就绪_v 休息_v 安排_v
导致_v	累及_v 损伤_v 致使_v 加重_v 致_v 缺氧_v 避免_v
难_a
可_v	需_v 若_v
民警_n	巡逻队员_n 侦查员_n 便衣_n 派出所_n 报警人_n
具有_v
广州_ns	杭州_ns 青岛_ns 大连_ns 深圳_ns 上海_ns 天津_ns 成都_ns
出_v	得_v
书记_n	常委_n 省长_n 代市长_n 代省长_n 统战部_n
科技_n	微电子_n 创业家_n 高新技术_n 人才_n 高新科技_n 科学技术_n 农业_n 光电子_n 孵化器_n 技术_n 创新型_n
事_n	事情_n 事儿_n 话_n
需求_n	客群_n 自住性_n 刚性_n 改善性_n 改善型_n 投机性_n
英国_ns	澳大利亚_ns 加拿大_ns 美国_ns 挪威_ns
家庭_n	独生子女_n 外来工_n 子女_n 低收入_n 双职工_n 孤儿_n 空巢_n
上_v
检查_v	排查_v 自查_v 督导_v 抽验_v 复查_v
尊重_v	相待_v 沦丧_v 践踏_v 恪守_v 承担_v
公布_v	披露_v 出炉_v 汇总_v 显示_v 统计_v 发布_v
明显_a	显著_a
地_n	大部_n 一带_n
下降_v	微降_v 回落_v 收窄_v 上升_v
利用_v	盘活_v 回收_v 再生_v 开发_v 节约_v
台湾_ns
严重_a	轻微_a 危险_a
风险_n	系统性_n 流动性_n 信用_n 脆弱性_n 敞口_n 风险性_n
车辆_n	工程车_n 超车道_n 行车道_n 行人_n 车道_n
主任_n	处长_n 科长_n 局长_n 巡视员_n 调研员_n
网_n	网台_n 窗海口_n 电_n 网海口_n
健康_a	有益_a 无益_a
全球_n	经济体_n 跨国公司_n 全球性_n 航空业_n
入_v	连_v 放_v 抽_v 冲_v 进_v
中央_n	委员长_n 省政府_n 办公厅_n 区党委_n 编译局_n
最高_a	平均_a 湿度_a
想_v	知道_v 没_v 觉得_v 明白_v 想想_v
利率_n	房贷_n 存款_n 基准_n
联系_v	拨打_v 沟通_v 接通_v 求助_v 核实_v
农村_n	贫困村_n 牧区_n 特困户_n 城乡_n 贫困户_n 合作医疗_n 示范村_n
道德_n	伦理_n 行为_n 道义_n 失范_n 准则_n 法律_n 公德_n 良知_n
法规_n	法律_n 土地管理法_n 地方性_n 消防法_n 禁止性_n 条文_n 强制力_n 行政处罚法_n 规章_n
发_v	附上_v
重点_n	项目库_n 生态市_n 示范镇_n
收入_n	年收入_n 人均收入_n 支出_n 总收入_n 增幅_n 财产性_n 净收入_n 总支出_n 转移性_n
机会_n	运气_n
保持_v	稳定_v 维持_v 趋于_v 有利于_v
报告_n	月报_n 褐皮书_n 数据_n 公报_n
少_a	多_a 一般_a
帮助_v	寻求_v 希望_v 能_v 挽救_v
基层_n	工作法_n 团组织_n 党员_n 机关干部_n 党组织_n
推动_v	助推_v 深化_v 构建_v 巩固_v 加快_v 促进_v 致力_v 推进_v 发展_v 力促_v
犯罪_v	审讯_v 破获_v 抓获_v 涉枪_v 在逃_v 涉嫌_v
促进_v	助推_v 有助於_v 有助于_v 加快_v 有利於_v 发展_v 有利于_v 推动_v 构建_v
领导_n	班子_n 干部_n 一把手_n 同志_n 机关干部_n 领导班子_n 乡镇长_n 正职_n 包片_n
机关_n	监察部门_n 公安_n 司法_n
要求_n	原则_n
综合_v
权力_n	官僚_n 执行权_n
结束_v	开始_v 开赛_v 参加_v 为期_v 落幕_v
应_v	避免_v 若_v 建议_v
代表_n	召集人_n 闭幕会_n 边会_n
分析_v	指出_v 判断_v 预测_v 研究_v 研判_v 判读_v
消费者_n	厂家_n 购车者_n 顾客_n 商家_n 购买者_n 销售商_n 购物者_n 赠品_n
人士_n	业界_n 业内人士_n 银行界_n 法律界_n
执行_v	细化_v 规定_v 明确_v 实施_v 制订_v 下达_v 制定_v
开发_v	勘探_v
行动_v	除恶_v 打黑_v 动员_v 部署_v 打击_v 清剿_v 旨在_v
交流_v	联谊_v 增进_v 合作_v 互鉴_v 研讨_v 互访_v 互学_v
球_n	空门_n 球门_n 网窝_n
事故_n	频发_n 油罐车_n 矿难_n 火灾_n 司乘人员_n 液氨_n
努力_a	不懈_a 积极_a
宣传_v	宣讲_v 编印_v 防艾_v
坚持_v	要_v 著眼_v
电影_n	影片_n 新片_n 影视剧_n 动作片_n 喜剧_n 续集_n
落实_v	狠抓_v 明确_v 细化_v 贯彻_v
路_n	立交桥_n 大路_n 山路_n 路口_n 辅路_n
控制_v	控_v 轨控_v 辅助_v
女士_n	先生_n
有效_a
预计_v	可望_v
作者_n	云网_n 中工网_n 摄作者_n 来源_n 东南网_n 西部网_n 东北网_n 南方网_n 东方网_n 华龙网_n
采访_v	群访_v 告诉_v 求证_v 专访_v
机制_n	体系_n 长效_n 奖惩_n 制度_n 体制_n 新机制_n
范围_n	半径_n 覆盖面_n 行政区域_n
经营_v	特许_v 经销_v 专营_v
上涨_v	涨_v 环比_v 微涨_v 普涨_v 下跌_v 持平_v
领域_n	次区域_n 两岸业界_n 价值链_n 跨国公司_n 战略_n 科技_n 产业链_n 产业界_n
游戏_n	网游_n 游戏盒_n 网页游戏_n 玩法_n 游戏界_n
透露_v	否认_v 爆料_v 知情_v 表示_v 称_v 透漏_v
球员_n	前锋_n 中卫_n 中锋_n 球队_n 球星_n
购买_v	附赠_v 选购_v 订购_v 购机_v 出售_v 换购_v 购得_v
体育_n	体育运动_n 篮球_n 网球_n 足球_n 竞技_n 赛事_n
发挥_v	助推_v 引领_v 调动_v
投资者_n	长线_n 债市_n 蓝筹股_n 私募_n 险资_n 短线_n 股票_n 股民_n 券商_n 港股_n 债券_n
家_n	亲戚家_n 老两口_n 闺女_n 老伴_n 我家_n
球队_n	赛季_n 国家队_n 西甲_n 杯赛_n 球员_n
决定_v	制宪_v 宣布_v 商议_v 休会_v 提议_v 通过_v 议定_v
优势_n	区位_n 实力_n
令_v	心生_v 扼腕_v 生畏_v 惊叹_v 瞠目_v 唏嘘_v 叫绝_v 让_v
爱_v	恨_v 依恋_v 爱上_v
事件_n
具体_a	详尽_a 明确_a 初步_a
充分_a	积极_a
天气_n	雷雨_n 桑拿天_n 雷电_n 晴热_n 流性_n 降水_n 阴雨_n
委员会_n	主任委员_n 委员_n 秘书处_n 执委会_n 理事会_n 主席团_n
人们_n	普通人_n 现代人_n 国人_n 内心_n 事物_n
空间_n	私密性_n 航天器_n 储物_n 光波_n 空间感_n
成绩_n	总成绩_n 总分_n 名次_n
平台_n	服务商_n 和平台_n 全方位_n
传统_n	文化_n 内涵_n 手工艺_n 传承者_n 精髓_n
压力_n	阻力_n 重压_n 隐忧_n
转载_v	请勿_v 登载_v 引用_v 来源于_v
日报_n	云网_n 来源_n 华龙网_n 东南网_n
监督_v	监管_v
确保_v	狠抓_v 保证_v 保障_v 到位_v 强化_v 消缺_v 度汛_v
公共_a	卫生_a
至_v	涨至_v 升_v 逼近_v 低于_v 降_v
成立_v	组建_v 交由_v 设立_v 筹建_v 委派_v 召集_v
总_a
冠军_n	亚军_n
权_n	网站_n 意见_n 裁量权_n
观众_n	戏迷_n 影迷_n 观剧_n
上市_v
办法_n	新规_n 细则_n 修订稿_n 规章_n 条例_n 规定_n 总则_n
稳定_a	平衡_a 良好_a 缓和_a 平稳_a 安定_a
中华人民共和国_ns	大河报_ns
朋友_n	亲戚_n 男朋友_n
手_n	右手_n 双手_n 双臂_n 左手_n
考生_n	分数_n 考分_n 志愿表_n 文理科_n 志愿_n
召开_v	讲话_v 闭幕_v 联组_v
联合_v	军演_v 主办_v 牵头_v 成立_v 反恐_v 清剿_v
遵守_v	反映_v 供稿_v
完全_a	确实_a 显然_a 什麽_a 简单_a
交易_v	竞价_v 买卖_v
国_n	邻邦_n 领导人_n 伙伴_n 双边_n 盟国_n 和平_n
言论_n	声明_n 挑衅性_n 留言板_n 管理员_n 频道_n
方案_n	时间表_n 路线图_n 初稿_n
县_n	州_n 市_n 委办局_n 财政局_n 经信局_n 市县_n 省_n 区_n
像_v	好似_v 好像_v
规模_n	进出口额_n 总额_n 贸易量_n 数量_n 比重_n 投资额_n 结算量_n 体量_n
行政_n	行政处罚权_n 执法权_n 权限_n
据悉_v	定於_v 启动_v 原定_v 定于_v
成本_n	利用率_n 利润率_n 运费_n 损耗_n 毛利_n 利润_n 税赋_n
减少_v	增加_v 下降_v 剧增_v 减低_v 增高_v 不足_v 减缓_v 降低_v
优惠_v	特惠_v 让利_v 钜惠_v 打折_v 购车_v
政治_n	执政党_n
完_v	再说_v 有空_v 没事_v 完了_v 去_v 舍不得_v
价值_n	收藏者_n 收藏品_n 砚台_n
俄罗斯_ns	卡塔尔_ns 摩洛哥_ns 拉脱维亚_ns 土耳其_ns 印度_ns 委内瑞拉_ns
状态_n	体能_n 伤病_n
注意_v	切记_v 留意_v 留心_v
主席_n	委员长_n 秘书长_n
找_v	商量_v 找到_v 打听_v 有事_v 帮_v 去_v
卖_v	买_v 囤_v 转手_v 便宜_v 赚_v
区_n	州_n 商务委_n 市_n 县_n 委办局_n 经信局_n 辖市_n 省_n
党_n	全党_n 我党_n 纲领_n 工人阶级_n 先进性_n 党章_n 共产党人_n
启动_v	响应_v 启用_v 据悉_v 防指_v 保电_v 排渍_v 标志_v
变_v
安排_v	提前_v 调配_v 布置_v 准备_v 休息_v 休假_v
经验_n	总结_n
功能_n	功能性_n
叙利亚_ns	土耳其_ns 黎巴嫩_ns 伊拉克_ns
培训_v	辅导_v 受训_v 参训_v 研修_v 授课_v 教学_v
财政_n	决算表_n 赤字_n 经费_n 支出_n 预算_n 财政性_n 开支_n
留言_v	自肥_v 拥有_v
觉得_v	说话_v 想_v 明白_v 想想_v 知道_v 好像_v 感觉_v 在意_v
基地_n	优质稻_n 标准园_n 肉牛_n 专业村_n 种苗_n
产生_v	蓄积_v 使_v 腐蚀_v 影响_v 导致_v
客户_n	网点_n 套餐_n 电销_n
体系_n	制度_n 机制_n
截至_v	截止_v 发稿_v 统计_v 预计_v
规定_v	施行_v 限定_v 修订_v 废止_v 违反_v
消费_v	拉动_v 网购_v
设施_n	排水管网_n 配网_n 管网_n
考虑_v	改变_v 倾向_v 选择_v 权衡_v
楼_n	楼顶_n 顶楼_n 阳台_n 底楼_n 单元门_n 居民楼_n 楼房_n 窗户_n 楼道_n 商务楼_n 楼层_n 单元楼_n
老_a
模式_n	架构_n
法院_n	原审_n 法庭_n 法官_n 终审_n 二审_n 一审_n
医疗_n	定点_n 起付线_n
农业_n	菌草_n 示范园_n 畜牧业_n 林业_n 桑蚕_n 林果业_n 示范区_n 蚕桑_n
当_v	忘_v 问_v 知道_v 乐得_v 叫_v
统计_v	购导_v 截至_v 公布_v 显示_v
重大_a	深远_a
连续_a
案件_n	涉案人_n 涉案人员_n
航天员_n	飞船_n 实验舱_n 神舟_n 神九_n 天宫_n
区域_n	核心区_n 区域性_n 城市群_n 全域_n 功能区_n 周边_n
加快_v	推进_v 生态化_v 集群化_v 一体化_v 城镇化_v
线_n	轨通_n 轨交_n 新线_n 环线_n
老师_n	毕业班_n 同学_n 语文课_n 班_n 家长_n 班主任_n
主题_n	党日_n 沙龙_n 征文_n 主旨_n
快_a	稳_a 慢_a 平稳_a 缓慢_a
治疗_v	诊断_v 化疗_v 放疗_v 手术_v
负责_v	分管_v 指派_v 分工_v 委派_v
村_n	贫困村_n 村组_n 村屯_n 村官_n 村干部_n 行政村_n 村居_n
死亡_v	受伤_v 丧命_v 遇难_v 致死_v 失踪_v 身亡_v 丧生_v 死伤_v 窒息_v 致伤_v
新华社_ni
管理员_n	言论_n 意见_n 留言板_n 频道_n
家长_n	毕业班_n 孩子_n 辅导班_n 家长会_n 小学生_n 衔接班_n 学生_n 老师_n 补习班_n 学校_n 托管班_n
平均_a	高於_a
战略_n	次区域_n 支点_n 桥头堡_n 机遇_n 领域_n 机遇期_n 框架_n
监管_v	健全_v 强化_v 规范_v 监督_v 内控_v
变化_v	改变_v
降_v	加息_v 至_v 上调_v 调降_v 反升_v 下调_v
全市_n	全区_n 街镇_n 全镇_n 我市_n 我省_n 全县_n 全省_n
全省_n	全区_n 我省_n 主产省_n 全州_n 我市_n 百强县_n 地市_n 全县_n 全市_n 全国_n 先进县_n
结合_v	着重_v 切合_v 注重_v 突出_v
早_a	晚_a 迟_a
引用_v	转载_v 如_v
设备_n	电子元件_n 仪器_n 装置_n 器件_n
良好_a	和谐_a 显著_a 稳定_a
笔名_n	人民网_n 代表作者_n
阶段_n
车型_n	思域_n
